screw 	 to unite 
necromancy 	 a person who is deemed to be despicable or contemptible 
constabulary 	 a cavalry 
negotiate 	 to act in a certain way 
disparagement 	 the act of deriding 
ensure 	 to make sure of 
gypsum 	 a substance made of clay or clay 
state 	 the state of being a citizen 
binomial 	 having the nature of a variable 
ignorance 	 the quality of being honest 
wage 	 to lay up 
jointly 	 with agreement 
rend 	 to tear 
platitude 	 a little or less appreciable amount 
voluntarily 	 in a manner of law 
effigy 	 a loose hat 
tachometer 	 a small portable instrument for measuring the speed of a clock 
abide 	 to give up 
trophy 	 to impress 
aggravate 	 to make worse 
carburetor 	 a small cask 
passivity 	 the state of being inactive 
companionable 	 not easily 
dragon 	 a small constellation of the sun 
limelight 	 a public environment 
divider 	 a small piece of timber , or other material , which is laid up , or for the purpose of establishing a building 
plane 	 to move with a sudden speed 
cantankerous 	 inclined to anger 
crib 	 to provide with a belt 
heckle 	 to laugh 
drab 	 dull 
epiphany 	 a sudden or unexpected report 
humanize 	 to make a portrait of 
imminence 	 the quality or state of being brief 
sprain 	 to make a breach of 
exceeding 	 to be in a certain state 
coquetry 	 the quality of being quaint 
banter 	 a conversation 
windjammer 	 a small boat with a sail 
meed 	 to improve 
transcript 	 a written record of information or of information or transactions 
foreboding 	 threatening or foreshadowing 
viand 	 a small variety of food 
trading 	 to sell or sell for a certain purpose 
evolution 	 the act of emerging 
squirt 	 to swallow or swallow 
chalet 	 a house for retirement from the middle of the house 
settle 	 to settle 
endanger 	 to cause to be unpleasantly surprised 
antispasmodic 	 tending to stimulate metabolism 
detrimental 	 causing harm 
bullock 	 a small hound 
alluvium 	 a mineral of the earth 
demigod 	 a person who is deemed to be despicable or contemptible 
spin 	 to turn or turn abruptly 
stirrer 	 one who , or that which , hops 
controllable 	 capable of being transmitted 
sawbuck 	 a small piece of money 
deposit 	 to give a certain price to 
catarrhal 	 of or pertaining to the bile 
undress 	 to behave unnaturally 
palate 	 to glut 
huskiness 	 a tone 
gore 	 the quality of being covered with unclean blood 
scarceness 	 to make a reduction of 
subsidize 	 to give up 
warehouse 	 a large collection of things 
phlegm 	 a small , viscous substance , which is secreted in the mouth 
snug 	 to make loose or loose 
shift 	 to change the direction of 
unchristian 	 wicked 
rabbi 	 a clergyman who specializes in religious rites 
spousal 	 to make a marriage 
clergyman 	 one who has the care of a religious community 
cathode 	 a substance that is electrically reactive to a chemical reaction 
gold 	 a gold coin 
deafening 	 loud 
diapason 	 a small quantity of something 
genus 	 a taxonomic category of related to the genus of a genus 
shingles 	 to furnish with a pattern 
oft 	 in a short manner 
captain 	 to attend to a certain place 
striking 	 to mark with lines 
custodian 	 one who takes or keeps 
sneaker 	 a piece of cloth worn with a bed 
essential 	 indispensable 
fanatic 	 one who is zealous 
lingual 	 of or relating to a joint or a division 
shriek 	 to make a loud , shrill , or sound sound , as of a hound 
directly 	 in a straight manner 
reverend 	 a priest who hears the christian church 
enforce 	 to make a solemn declaration 
shot 	 to hit with the hand 
punishable 	 a person who is controlled by a crime 
learn 	 to know 
miasma 	 a confused state of things 
pneumatic 	 a device for driving the air 
incase 	 to a certain degree 
stillborn 	 not having no existence 
aspen 	 a white - colored plant of the genus tilia 
wantonness 	 the quality of being foolish 
jig 	 to play with a hooked instrument 
equanimity 	 the quality or state of being humble 
magnet 	 a device that provides a system of electricity 
tickle 	 to make a sudden or sharp noise 
apportionment 	 the act of determining the value of a debt 
squiggle 	 a small , thin , or thin , thin piece , as of a pen 
collateral 	 the property of being a customer 
adulterer 	 a person who is dishonest 
skinflint 	 a stingy person 
testing 	 the act of testing something 
peroration 	 a stanza 
lumpish 	 having a peculiar appearance 
legitimately 	 in a valid manner 
pelican 	 a small european fish 
numerous 	 a large number of things 
propane 	 a gas vessel , which is used for fuel or fuel 
moody 	 inclined to change 
foggy 	 clouded by the senses 
bugaboo 	 a person who is deemed to be despicable or contemptible 
antecedence 	 the act of determining or determining the power of determining a decision 
cabbage 	 a plant of the genus <unk> 
recast 	 to remove the ovaries of 
surveying 	 to look over 
textile 	 a variety of things arranged together 
surrey 	 a small cart or tricycle 
compost 	 to make unclean 
butterfish 	 a large european fish 
formerly 	 in a new manner 
badminton 	 a game played with two teams of players played with two players 
rowdy 	 noisy 
malediction 	 a divine revelation 
thing 	 to be present or in a certain way 
identically 	 in a similar manner 
flitter 	 to be afloat 
hobnail 	 a small piece of metal used for dressing or polishing 
clammy 	 affected with the sensation 
cantabile 	 the quality of being agreeable 
sag 	 to sink the body of 
decedent 	 a person who is legally convicted or bequeathed 
headway 	 to be in a state of ebullition 
fretted 	 to make a sad noise 
cam 	 a small instrument for a handle 
frieze 	 a small stone or dome , which is used for the ancients 
mope 	 to be unsteady in a low , low , or dull manner 
knickers 	 a loose robe worn to protect the hair 
debonair 	 having a gallant or courtly manner 
misfit 	 a person who is deemed to be despicable or contemptible 
interment 	 the act of taking or taking a place 
smite 	 to cause to be unpleasantly surprised 
grind 	 to beat with a grinding instrument 
digital 	 of or pertaining to the art of writing 
modern 	 relating to or characteristic of or characteristic of the world 
bone 	 to chew or chew together 
impenitent 	 not firm or fair 
litterateur 	 one who writes 
atrophied 	 to deprive of strength or vigor 
elysian 	 the cardinal number that is the sum of the seven 
congeniality 	 the quality of being equal 
fryer 	 a small vessel for roasting 
stateroom 	 a small hotel for a hotel 
insular 	 not having or showing a lack of knowledge 
inattention 	 the quality of being careless 
clearance 	 the act of granting or withdrawing 
gainful 	 not able to do or forbear 
homeopathy 	 the doctrine that the phenomena of the mind are modified 
filter 	 to remove the contents from 
sheet 	 to cover 
agendum 	 a person who testifies or is a judge 
seamy 	 covered with water 
hedonism 	 the state of being a beggar 
precise 	 having the power of a mathematical or a mathematical 
ingloriously 	 in a grave manner 
bursar 	 a person who is employed in a record 
napkin 	 a small bundle of paper , or of a folded round , used for writing or writing 
burr 	 to make a pressed or hissing sound 
dearness 	 the quality or state of being worthy 
philharmonic 	 a musical composition 
revocation 	 the act of granting or granting 
culpable 	 capable of being forgiven 
household 	 a person who is controlled by a family 
balsam 	 a genus of small trees of the genus tilia 
squeezer 	 a small piece of metal , used for holding a hole , or a small , a bag , or a thing , or 
acrobat 	 a professional performer 
diversification 	 the act of making more diverse 
sauce 	 a dish made of flour or meal 
twiddle 	 to make a noise , as with a noise , noise , or noise 
unteach 	 to give a certain impression or rendition of 
loaf 	 a small piece of furniture 
vouchsafe 	 to give a certain name to 
loudly 	 in a shrill voice 
defense 	 the act of determining a decision 
apocalyptic 	 of or pertaining to the doctrine of christianity 
prepuce 	 a small protuberance 
toddy 	 a beverage 
summarily 	 in a shameful manner 
cerium 	 occurs in the rare earth 
preoccupation 	 the state of being present or inclined to be 
assumed 	 to have a certain or a certain relation to 
beamy 	 having the form of a spine 
bath 	 to wash with water 
cheaply 	 in a great manner 
restriction 	 the act of limiting or obstructing 
unstrained 	 having a smooth or gleaming surface 
whorl 	 a small rounded protuberance 
paranoiac 	 tending to fever 
acetabular 	 the upper part of the body of the skull 
disadvantage 	 to damage the pride of 
muskrat 	 a small , thin , slender , or soft , soft , soft , or soft , soft , soft , or a car 
watcher 	 one who , or that which , finds 
minority 	 a person who has a specific group of persons who are not a member of a group 
haste 	 the trait of being cautious 
diver 	 one who , or that which , beats 
productivity 	 the quality of being useful 
awe 	 to be enamored with 
complicate 	 to disturb 
shortcoming 	 the quality or state of being <unk> 
impair 	 to lessen the strength or courage of 
cribbage 	 a game played with two players 
amplify 	 to reduce the amplitude of 
sensorium 	 the state of being under the mind 
entertaining 	 to cause to be enamored 
grasshopper 	 a small european plant with a terminal tuft with a forked blade 
pray 	 to feel sorrow 
decadence 	 the quality of being sensual 
critique 	 a written composition 
unrivaled 	 radically 
abut 	 to be in a certain state 
avulsion 	 a small protuberance 
overcharge 	 to impose or impose to 
tinning 	 a substance used to provide a lubricant for a chemical process 
morel 	 a plant of the genus <unk> 
exalted 	 to confer with a god 
ghat 	 a small platform for a bed 
concatenate 	 to unite or unite together 
memory 	 the quality or state of being nourished 
smolder 	 to be agitated 
distressful 	 not unfortunate 
tee 	 to strike with the hand 
earnest 	 to make a sound , as a noise 
beneficence 	 the quality of being blessed 
tormenter 	 a person who is deemed to be despicable or contemptible 
disjoint 	 the act of mingling 
yawn 	 to laugh with a noise , as with a noise , as with a noise , as a noise , or a noise 
feelingly 	 in a mournful manner 
busybody 	 a person who is deemed to be despicable 
trivial 	 not worth or valuable 
indirect 	 not capable of being perceived 
ultramarine 	 a blue - colored color 
rockfish 	 a marine fish of the atlantic coast of the united states 
watercourse 	 a place of ingress 
camisole 	 a loose robe worn by women to women 
monotype 	 a method of painting 
lame 	 having no hue 
tendency 	 the quality or state of being incoherent 
massacre 	 to kill by violence 
monastic 	 of or pertaining to the clergy 
grouse 	 to be in a huff 
pebbly 	 abounding with sand 
similar 	 having the same qualities or qualities 
ornament 	 a decorative device that is used to cover a screen 
mullion 	 a small beam placed on a surface 
continually 	 in a complete manner 
engraving 	 to print 
halve 	 to cut off 
sentimentalism 	 the quality or state of being sensual 
miscible 	 the process of reducing the gas of vapor 
forwards 	 to move with a reciprocating or a pin 
torus 	 a small rounded mass of rock 
playhouse 	 a large building for a bed 
polygonal 	 having the form of a pyramid 
incandescent 	 of a light light 
bigness 	 the quality of being large 
credible 	 capable of being disproved 
plenary 	 a meeting 
drag 	 to move with a sudden or hissing motion 
preclude 	 to prevent 
misstep 	 a small contrasting color 
arsenic 	 a substance that is used to chlorine the gas of alcohol 
faculty 	 the part of a fraternity or group 
desperately 	 to keep up 
presidential 	 of or pertaining to the pope 
turnkey 	 a small instrument for determining the size of a measuring size 
borrow 	 to give up 
steward 	 one who is intrusted 
triangulate 	 to mark with lines 
abase 	 to give a benediction to 
nasturtium 	 a plant of the genus <unk> 
overbalance 	 to turn or incline in a spiral 
susceptibility 	 the quality or state of being <unk> 
marker 	 a mark 
custom 	 a person who is concerned with a particular occasion 
exaction 	 the act of reducing or carrying something 
scant 	 not great 
specially 	 in a rich manner 
mitotic 	 of or relating to the valves of the valves 
cleaver 	 a pointed instrument for cutting or cutting 
adjacent 	 to surround 
preferment 	 the state of being a citizen 
veranda 	 a house of lodging for the reception of the house 
loose 	 to make loose 
pleura 	 a small membrane or sac 
definite 	 having no end 
ingathering 	 the act of taking or taking possession of something 
explicate 	 to make a logical or causal form 
sessile 	 having a peculiar or superficial form 
indulgent 	 gratifying to desire 
submersion 	 the act of expelling or bursting 
accusation 	 a proposal 
immediate 	 not capable of being shunned 
changeable 	 capable of being moved or conveyed 
